Title;Year;Genres;Language;Country;Content Rating;Duration;Aspect Ratio;Budget;Gross Earnings;Director;Actor 1;Actor 2;Actor 3;Facebook Likes - Director;Facebook Likes - Actor 1;Facebook Likes - Actor 2;Facebook Likes - Actor 3;Facebook Likes - cast Total;Facebook likes - Movie;Facenumber in posters;User Votes;Reviews by Users;Reviews by Crtiics;IMDB Score;
Interview with the Assassin ;2002;Drama;English;USA;R;88;1,78;750000;47329;Neil Burger;Raymond J. Barry;Christel Khalil;Renee Faia;168;108;72;21;243;163;0;1661;31;31;6,6;
Irreversible ;2002;Crime|Drama|Mystery|Thriller;French;France;Not Rated;99;2,35;;753501;Gaspar Noé;Philippe Nahon;Albert Dupontel;Jo Prestia;929;56;46;9;118;13000;0;87244;664;192;7,4;
Jackass: The Movie ;2002;Comedy|Documentary;English;USA;R;87;1,85;5000000;64267897;Jeff Tremaine;Bam Margera;Steve-O;Chris Pontius;79;608;362;218;1770;0;0;67992;327;106;6,6;
John Q ;2002;Crime|Drama|Thriller;English;USA;PG-13;116;1,85;36000000;71026631;Nick Cassavetes;Denzel Washington;Laura Harring;Anne Heche;415;18000;669;644;20970;0;1;98899;394;129;7;
Jonah: A VeggieTales Movie ;2002;Adventure|Animation|Comedy|Drama|Family|Musical;English;USA;G;82;1,85;14000000;25571351;Mike Nawrocki;Phil Vischer;Mike Nawrocki;Shelby Vischer;12;23;12;8;49;184;0;3135;78;38;6,6;
Juwanna Mann ;2002;Comedy|Drama|Romance|Sport;English;USA;PG-13;91;1,85;15600000;13571817;Jesse Vaughan;Vivica A. Fox;Jenifer Lewis;Kevin Pollak;10;890;578;574;3104;939;3;5312;40;32;4,5;
K-19: The Widowmaker ;2002;Drama|History|Thriller|War;English;UK;PG-13;138;2,35;100000000;35168677;Kathryn Bigelow;Liam Neeson;Christian Camargo;Lex Shrapnel;0;14000;602;123;15149;0;1;49311;278;136;6,7;
Kung Pow: Enter the Fist ;2002;Action|Comedy;English;USA;PG-13;81;2,35;10000000;16033556;Steve Oedekerk;Steve Oedekerk;Simon Rhee;Jennifer Tung;176;176;67;39;361;0;1;37901;518;63;6,2;
L'auberge espagnole ;2002;Comedy|Drama;French;France;R;111;1,85;5300000;3895664;Cédric Klapisch;Romain Duris;Cécile De France;Iddo Goldberg;82;809;447;269;1858;0;0;34383;149;88;7,3;
Life or Something Like It ;2002;Comedy|Romance;English;USA;PG-13;103;2,35;40000000;14448589;Stephen Herek;Angelina Jolie Pitt;Stockard Channing;James Gammon;65;11000;944;311;12566;835;2;19364;128;86;5,8;
Like Mike ;2002;Comedy|Family|Fantasy|Sport;English;USA;PG;99;1,85;30000000;51432423;John Schultz;Brenda Song;Robert Forster;Anne Meara;13;1000;889;837;3679;1000;7;15074;72;39;5,1;
Lilo & Stitch ;2002;Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi;English;USA;PG;85;1,66;80000000;145771527;Dean DeBlois;Tia Carrere;Jason Scott Lee;David Ogden Stiers;255;1000;533;443;3112;0;0;117212;367;180;7,2;
Lilya 4-Ever ;2002;Crime|Drama;Russian;Sweden;R;109;1,85;;181655;Lukas Moodysson;Oksana Akinshina;Artyom Bogucharskiy;Lyubov Agapova;187;129;2;0;131;0;1;35464;206;112;7,9;
Maid in Manhattan ;2002;Comedy|Drama|Romance;English;USA;PG-13;105;2,35;55000000;93815117;Wayne Wang;Bob Hoskins;Frances Conroy;Natasha Richardson;61;5000;827;708;7184;0;2;68417;242;114;5,1;
Manito ;2002;Drama|Family;English;USA;;79;1,78;24000;;Eric Eason;Franky G;Panchito Gómez;Casper Martinez;3;93;46;42;243;61;0;493;21;28;7;
Martin Lawrence Live: Runteldat ;2002;Biography|Comedy|Documentary;English;USA;R;113;1,85;3000000;19184015;David Raynr;Nancy O'Dell;Mikki Padilla;Dayna Devon;9;71;65;12;159;63;1;1466;35;24;5,4;
May ;2002;Drama|Horror;English;USA;R;93;1,85;500000;145540;Lucky McKee;James Duval;Will Estes;Nora Zehetner;75;701;461;446;2489;0;1;26773;277;114;6,7;
Men in Black II ;2002;Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi;English;USA;PG-13;88;1,85;140000000;190418803;Barry Sonnenfeld;Will Smith;Rosario Dawson;Rip Torn;188;10000;3000;826;14823;2000;2;270207;606;208;6,1;
Men with Brooms ;2002;Comedy|Drama|Romance|Sport;English;Canada;R;102;1,85;7500000;4239767;Paul Gross;Molly Parker;Paul Gross;Kari Matchett;329;611;329;280;1834;0;3;3709;83;9;6;
Minority Report ;2002;Action|Mystery|Sci-Fi|Thriller;English;USA;PG-13;145;2,35;102000000;132014112;Steven Spielberg;Tom Cruise;Frank Grillo;Jessica Capshaw;14000;10000;798;533;12546;0;0;399651;1331;252;7,7;
Mondays in the Sun ;2002;Comedy|Drama;Spanish;Spain;R;113;1,85;4000000;146402;Fernando León de Aranoa;Luis Tosar;Enrique Villén;Aida Folch;58;331;27;9;387;0;1;9913;38;64;7,7;
Moonlight Mile ;2002;Drama|Romance;English;USA;PG-13;112;2,35;21000000;6830957;Brad Silberling;Jake Gyllenhaal;Holly Hunter;Bob Clendenin;52;15000;1000;347;16692;365;3;11983;147;111;6,7;
Morvern Callar ;2002;Drama;English;UK;R;97;1,85;;267194;Lynne Ramsay;Samantha Morton;Bryan Dick;Paul Popplewell;159;631;104;53;841;605;0;6906;111;75;6,7;
Mr. Deeds ;2002;Comedy|Romance;English;USA;PG-13;96;1,85;50000000;126203320;Steven Brill;Steve Buscemi;Adam Sandler;Peter Gallagher;65;12000;11000;828;26826;0;1;110432;309;117;5,8;
Murder by Numbers ;2002;Crime|Mystery|Thriller;English;USA;R;115;1,85;50000000;31874869;Barbet Schroeder;Ryan Gosling;Chris Penn;Agnes Bruckner;58;33000;455;401;34606;0;0;43574;302;136;6,1;
Murder by Numbers ;2002;Crime|Mystery|Thriller;English;USA;R;115;1,85;50000000;31874869;Barbet Schroeder;Ryan Gosling;Chris Penn;Agnes Bruckner;58;33000;455;400;34605;0;0;43575;302;136;6,1;
My Big Fat Greek Wedding ;2002;Comedy|Family|Romance;English;USA;PG;95;1,85;5000000;241437427;Joel Zwick;Nia Vardalos;Louis Mandylor;Lainie Kazan;38;567;312;249;1495;5000;3;102071;756;168;6,6;
Narc ;2002;Crime|Drama|Mystery|Thriller;English;USA;R;105;1,85;7500000;10460089;Joe Carnahan;Jason Patric;Chi McBride;Alan Van Sprang;248;673;466;147;1442;1000;1;34098;214;127;7,2;
Nicholas Nickleby ;2002;Drama|Romance;English;UK;PG;132;2,35;10000000;1309849;Douglas McGrath;Charlie Hunnam;Anne Hathaway;Jim Broadbent;41;16000;11000;1000;29177;0;1;9395;103;80;7,2;
One Hour Photo ;2002;Drama|Thriller;English;USA;R;96;1,85;12000000;31597131;Mark Romanek;Robin Williams;Gary Cole;Connie Nielsen;132;49000;989;933;52138;0;0;97938;605;207;6,8;
Panic Room ;2002;Crime|Drama|Thriller;English;USA;R;112;2,35;48000000;95308367;David Fincher;Kristen Stewart;Dwight Yoakam;Mel Rodriguez;21000;17000;324;237;18141;0;0;206104;850;233;6,8;
People I Know ;2002;Crime|Drama|Mystery;English;USA;R;100;1,85;22000000;121972;Daniel Algrant;Al Pacino;Richard Schiff;Mark Webber;3;14000;506;442;15612;217;3;9868;81;42;5,5;
Phone Booth ;2002;Crime|Thriller;English;USA;R;81;2,35;13000000;46563158;Joel Schumacher;Radha Mitchell;John Enos III;Richard T. Jones;541;991;465;328;2562;0;0;207934;629;216;7,1;
Poolhall Junkies ;2002;Drama|Thriller;English;USA;R;99;1,85;4000000;562059;Mars Callahan;Chazz Palminteri;Ricky Schroder;Ernie Reyes Jr.;60;979;665;444;3130;872;4;8535;113;41;7;
Punch-Drunk Love ;2002;Comedy|Drama|Romance|Thriller;English;USA;R;95;2,35;25000000;17791031;Paul Thomas Anderson;Adam Sandler;Emily Watson;Don McManus;0;11000;876;98;11994;0;0;109855;888;251;7,3;
Queen of the Damned ;2002;Drama|Fantasy|Horror;English;USA;R;101;2,35;35000000;30307804;Michael Rymer;Aaliyah;Lena Olin;Bruce Spence;48;775;541;531;3001;0;2;43991;695;137;5,2;
Rabbit-Proof Fence ;2002;Adventure|Biography|Drama|History;Aboriginal;Australia;PG;94;2,35;6000000;6165429;Phillip Noyce;Roy Billing;David Gulpilil;Deborah Mailman;176;116;93;46;312;0;1;23486;249;74;7,5;
Raising Victor Vargas ;2002;Drama|Romance;English;France;R;88;1,85;800000;2073984;Peter Sollett;Victor Rasuk;Melonie Diaz;Judy Marte;6;302;270;68;663;219;1;4743;135;59;7,2;
Real Women Have Curves ;2002;Comedy|Drama;English;USA;PG-13;90;1,85;3000000;5844929;Patricia Cardoso;America Ferrera;Lupe Ontiveros;George Lopez;15;953;625;453;2510;595;1;6000;109;75;7;
Red Dragon ;2002;Crime|Drama|Thriller;English;Germany;R;124;2,35;78000000;92930005;Brett Ratner;Philip Seymour Hoffman;Anthony Hopkins;Emily Watson;420;22000;12000;876;35867;0;0;204063;764;210;7,2;
Reign of Fire ;2002;Action|Adventure|Fantasy|Sci-Fi|Thriller;English;USA;PG-13;101;2,35;60000000;43060566;Rob Bowman;Christian Bale;Gerard Butler;Matthew McConaughey;38;23000;18000;11000;53024;0;0;107859;569;138;6,2;
Resident Evil ;2002;Action|Horror|Sci-Fi;English;UK;R;100;1,85;33000000;39532308;Paul W.S. Anderson;Milla Jovovich;Jaymes Butler;Colin Salmon;545;14000;2000;766;17902;0;0;198701;1138;226;6,7;
Return to Never Land ;2002;Adventure|Animation|Family|Fantasy;English;USA;G;72;1,66;20000000;48423368;Robin Budd;Roger Rees;Rob Paulsen;Spencer Breslin;2;1000;677;434;3402;302;1;13324;79;80;5,8;
Ripley's Game ;2002;Crime|Drama|Mystery|Thriller;English;Italy;R;110;1,85;30000000;;Liliana Cavani;Ray Winstone;Dougray Scott;Chiara Caselli;59;1000;794;24;1831;447;0;14618;108;56;6,7;
Road to Perdition ;2002;Crime|Drama|Thriller;English;USA;R;117;2,35;80000000;104054514;Sam Mendes;Tom Hanks;Jennifer Jason Leigh;Liam Aiken;0;15000;1000;818;16828;0;0;200359;1009;226;7,7;
Rollerball ;2002;Action|Sci-Fi|Sport;English;USA;R;98;2,35;70000000;18990542;John McTiernan;LL Cool J;Chris Klein;Andrew Bryniarski;323;1000;841;390;2763;584;3;22264;289;151;3;
Scooby-Doo ;2002;Adventure|Comedy|Mystery;English;USA;PG;86;1,85;84000000;153288182;Raja Gosnell;Sarah Michelle Gellar;Linda Cardellini;Miguel A. Núñez Jr.;67;4000;2000;271;6355;0;3;71424;521;138;4,9;
Secretary ;2002;Comedy|Drama|Romance;English;USA;R;104;1,85;4000000;4046737;Steven Shainberg;Jeremy Davies;Stephen McHattie;Lesley Ann Warren;30;769;413;296;2251;15000;1;67949;390;163;7,1;
Serving Sara ;2002;Comedy|Romance;English;Germany;PG-13;99;1,85;29000000;16930185;Reginald Hudlin;Matthew Perry;Jerry Stiller;Vincent Pastore;71;2000;719;584;4169;201;2;14315;101;64;5,3;
Sex with Strangers ;2002;Documentary|Drama;English;USA;;105;1,33;;247740;Harry Gantz;;;;0;;;;0;51;0;285;8;12;4,7;
Signs ;2002;Drama|Sci-Fi|Thriller;English;USA;PG-13;106;1,85;72000000;227965690;M. Night Shyamalan;Rory Culkin;Merritt Wever;Cherry Jones;0;710;529;242;1675;0;0;271592;2335;208;6,7;
Slackers ;2002;Comedy|Romance;English;Canada;R;86;1,85;11000000;4814244;Dewey Nicks;Jaime King;Gedde Watanabe;Jim Rash;4;960;448;424;2415;405;4;12437;107;66;5,3;
Snow Dogs ;2002;Adventure|Comedy|Family|Sport;English;Canada;PG;99;1,85;35000000;81150692;Brian Levant;James Coburn;Nichelle Nichols;M. Emmet Walsh;32;773;664;521;2916;0;1;20219;100;67;5,1;
Sorority Boys ;2002;Comedy;English;USA;R;93;1,85;12000000;10198766;Wallace Wolodarsky;Heather Matarazzo;Barry Watson;Harland Williams;32;529;526;503;2393;507;3;12007;105;53;5,4;
Spider ;2002;Drama|Mystery|Thriller;English;Canada;R;98;1,78;8000000;1641788;David Cronenberg;Miranda Richardson;John Neville;Lynn Redgrave;0;530;387;258;1381;0;0;30096;213;157;6,8;
Spider-Man ;2002;Action|Adventure|Fantasy|Romance;English;USA;PG-13;121;1,85;139000000;403706375;Sam Raimi;J.K. Simmons;James Franco;Kirsten Dunst;0;24000;11000;4000;40484;5000;0;544665;2012;291;7,3;
Spirit: Stallion of the Cimarron ;2002;Adventure|Animation|Family|Western;English;USA;G;83;2,35;80000000;73215310;Kelly Asbury;Matt Damon;Charles Napier;Zahn McClarnon;21;13000;503;495;14261;4000;0;44143;216;106;7;
Spun ;2002;Comedy|Crime|Drama;English;USA;R;106;1,85;2000000;410241;Jonas Åkerlund;Patrick Fugit;Nicholas Gonzalez;Debbie Harry;68;835;601;391;2110;3000;0;32357;199;92;6,8;
Spy Kids 2: Island of Lost Dreams ;2002;Action|Adventure|Comedy|Family|Sci-Fi;English;USA;PG;100;1,85;38000000;85570368;Robert Rodriguez;Steve Buscemi;Alexa PenaVega;Emily Osment;0;12000;2000;1000;18291;478;1;44885;107;103;5,1;
Star Trek: Nemesis ;2002;Action|Adventure|Sci-Fi|Thriller;English;USA;PG-13;116;2,35;60000000;43119879;Stuart Baird;Tom Hardy;LeVar Burton;Jonathan Frakes;53;27000;1000;906;31224;0;0;58450;842;172;6,4;
Star Wars: Episode II - Attack of the Clones ;2002;Action|Adventure|Fantasy|Sci-Fi;English;USA;PG;142;1,78;115000000;310675583;George Lucas;Natalie Portman;Christopher Lee;Hayden Christensen;0;20000;16000;4000;42990;0;3;464310;3516;284;6,7;
Stealing Harvard ;2002;Comedy|Crime;English;USA;PG-13;85;1,85;25000000;13973532;Bruce McCulloch;Martin Starr;Megan Mullally;Chris Penn;54;985;637;455;3065;215;1;11211;92;52;5,1;
Stealing Harvard ;2002;Comedy|Crime;English;USA;PG-13;85;1,85;25000000;13973532;Bruce McCulloch;Martin Starr;Megan Mullally;Chris Penn;54;985;637;455;3065;215;1;11211;92;52;5,1;
Stolen Summer ;2002;Drama;English;USA;PG;91;1,85;1500000;119841;Pete Jones;Brian Dennehy;Aidan Quinn;Bonnie Hunt;18;954;767;597;3901;304;1;2419;55;31;6,5;
Stuart Little 2 ;2002;Adventure|Animation|Comedy|Family|Fantasy;English;USA;PG;77;1,85;120000000;64736114;Rob Minkoff;Nathan Lane;Brad Garrett;Melanie Griffith;50;886;799;537;2682;459;0;36471;69;71;5,4;
Sunshine State ;2002;Drama|Romance;English;USA;PG-13;141;1,85;5600000;3064356;John Sayles;Miguel Ferrer;Edie Falco;Timothy Hutton;407;688;659;501;2584;160;6;3433;81;68;6,9;
Sweet Home Alabama ;2002;Comedy|Romance;English;USA;PG-13;108;2,35;38000000;127214072;Andy Tennant;Ethan Embry;Mary Lynn Rajskub;Courtney Gains;72;982;935;559;4251;0;1;83786;392;97;6,1;
Swept Away ;2002;Comedy|Romance;English;UK;R;89;1,85;10000000;598645;Guy Ritchie;Bruce Greenwood;Jeanne Tripplehorn;David Thornton;0;990;711;119;2006;725;0;13145;215;71;3,6;
Swimfan ;2002;Drama|Thriller;English;USA;PG-13;85;2,35;8500000;28563926;John Polson;Erika Christensen;Shiri Appleby;Jason Ritter;21;931;855;782;3819;720;0;16300;217;86;5;
The Adventures of Pluto Nash ;2002;Action|Comedy|Sci-Fi;English;USA;PG-13;95;1,85;100000000;4411102;Ron Underwood;Rosario Dawson;Randy Quaid;Burt Young;31;3000;695;683;6161;416;1;20295;164;66;3,8;
The Banger Sisters ;2002;Comedy|Drama;English;USA;R;98;2,35;10000000;30306281;Bob Dolman;Erika Christensen;Eva Amurri Martino;Sal Lopez;7;931;797;73;1917;744;2;12388;147;92;5,6;
The Bourne Identity ;2002;Action|Mystery|Thriller;English;USA;PG-13;119;2,35;60000000;121468960;Doug Liman;Matt Damon;Josh Hamilton;Nicky Naudé;218;13000;147;73;13249;0;1;407601;849;249;7,9;
The Business of Fancydancing ;2002;Drama|Music;English;USA;;103;;200000;174682;Sherman Alexie;William Joseph Elk III;Leo Rossi;Cynthia Geary;18;96;90;61;314;96;0;460;14;12;6,9;
The Count of Monte Cristo ;2002;Action|Adventure|Drama|Romance|Thriller;English;UK;PG-13;131;1,85;35000000;54228104;Kevin Reynolds;Henry Cavill;James Frain;Michael Wincott;58;15000;1000;720;17152;0;1;104991;544;138;7,7;
The Country Bears ;2002;Comedy|Family|Music|Musical;English;USA;G;88;1,85;35000000;16988996;Peter Hastings;Haley Joel Osment;Alex Rocco;Stephen Root;0;3000;968;939;8189;422;1;3875;75;43;4;
The Crocodile Hunter: Collision Course ;2002;Action|Adventure|Comedy|Family;English;Australia;PG;90;2,35;13000000;28399192;John Stainton;Steve Irwin;Aden Young;Steve Bastoni;0;477;238;234;1483;332;0;5663;106;61;5,4;
The Dangerous Lives of Altar Boys ;2002;Comedy|Drama;English;USA;R;104;1,85;12000000;1779284;Peter Care;Kieran Culkin;Michael Harding;Jake Richardson;0;1000;165;77;1292;677;4;12047;122;78;7,1;
The Emperor's Club ;2002;Drama;English;USA;PG-13;109;1,85;12500000;14060950;Michael Hoffman;Gabriel Millman;Embeth Davidtz;Rob Morrow;97;13000;795;355;14347;0;1;14354;139;83;6,9;
The Four Feathers ;2002;Adventure|Drama|Romance|War;English;UK;PG-13;125;2,35;35000000;18306166;Shekhar Kapur;Djimon Hounsou;Lucy Gordon;Alex Jennings;159;3000;61;39;3142;0;2;28130;215;105;6,5;
The Good Girl ;2002;Drama|Romance;English;USA;R;93;1,85;5000000;14015786;Miguel Arteta;Jake Gyllenhaal;Zooey Deschanel;Tim Blake Nelson;44;15000;11000;596;27646;938;3;37952;298;107;6,5;
The Good Thief ;2002;Action|Crime|Drama|Romance|Thriller;English;France;R;109;1,85;25000000;3517797;Neil Jordan;Emir Kusturica;Saïd Taghmaoui;Tchéky Karyo;277;2000;378;345;2759;287;0;9004;103;105;6,6;
The Guru ;2002;Comedy|Music|Romance;English;UK;R;94;1,85;11000000;3034181;Daisy von Scherler Mayer;Michael McKean;Dash Mihok;Jimi Mistry;18;658;463;183;1559;550;3;13622;128;70;5,4;
The Heart of Me ;2002;Drama|Romance;English;UK;R;96;1,85;7000000;196067;Thaddeus O'Sullivan;Olivia Williams;Luke Newberry;Eleanor Bron;5;766;358;52;1251;97;3;1966;25;39;6,7;
The Hours ;2002;Drama|Romance;English;USA;PG-13;114;1,85;25000000;41597830;Stephen Daldry;Meryl Streep;Stephen Dillane;Miranda Richardson;335;11000;577;530;12624;0;3;102123;660;174;7,6;
The Importance of Being Earnest ;2002;Comedy|Drama|Romance;English;UK;PG;97;2,35;15000000;8378141;Oliver Parker;Colin Firth;Tom Wilkinson;Rupert Everett;32;14000;1000;692;16502;0;5;18966;141;104;6,9;
The Lord of the Rings: The Two Towers ;2002;Action|Adventure|Drama|Fantasy;English;USA;PG-13;172;2,35;94000000;340478898;Peter Jackson;Christopher Lee;Orlando Bloom;Billy Boyd;0;16000;5000;857;23052;10000;1;1100446;2417;294;8,7;
The Master of Disguise ;2002;Comedy|Family;English;USA;PG;80;1,85;16000000;40363530;Perry Andelin Blake;Jennifer Esposito;Kenan Thompson;James Brolin;11;911;521;499;3058;1000;2;18254;307;56;3,3;
The Mothman Prophecies ;2002;Drama|Horror|Mystery|Thriller;English;USA;PG-13;119;2,35;32000000;35228696;Mark Pellington;Debra Messing;Will Patton;David Eigenberg;89;650;537;395;1651;0;0;63677;460;166;6,5;
The New Guy ;2002;Comedy;English;USA;PG-13;92;1,85;13000000;28972187;Ed Decter;Zooey Deschanel;Eddie Griffin;Gene Simmons;13;11000;489;301;12687;1000;1;28805;159;49;5,9;
The Pianist ;2002;Biography|Drama|War;English;France;R;150;1,85;35000000;32519322;Roman Polanski;Emilia Fox;Frank Finlay;Ed Stoppard;2000;396;338;95;1075;21000;0;497946;761;193;8,5;
The Quiet American ;2002;Drama|Mystery|Romance|Thriller|War;English;UK;R;101;2,35;30000000;12987647;Phillip Noyce;Brendan Fraser;Tzi Ma;Holmes Osborne;176;3000;268;83;3431;983;2;24019;199;149;7,1;
The Rookie ;2002;Drama|Family|Sport;English;USA;G;127;2,35;20000000;75597042;John Lee Hancock;Dennis Quaid;Jay Hernandez;Angus T. Jones;102;2000;1000;1000;6657;0;0;26434;174;92;7;
The Rules of Attraction ;2002;Comedy|Drama|Romance;English;USA;R;110;1,85;4000000;6525762;Roger Avary;Ian Somerhalder;Faye Dunaway;Clifton Collins Jr.;675;16000;977;968;19928;0;2;44339;425;143;6,7;
The Salton Sea ;2002;Crime|Drama|Mystery|Thriller;English;USA;R;103;1,85;18000000;676698;D.J. Caruso;Adam Goldberg;Meat Loaf;Anthony LaPaglia;154;1000;783;576;4094;2000;0;26730;180;79;7,2;
The Santa Clause 2 ;2002;Comedy|Family|Fantasy;English;USA;G;104;1,85;60000000;139225854;Michael Lembeck;Judge Reinhold;Aisha Tyler;Eric Lloyd;54;901;857;775;5265;1000;0;34561;116;80;5,5;
The Scorpion King ;2002;Action|Adventure|Fantasy|Thriller;English;USA;PG-13;100;2,35;60000000;90341670;Chuck Russell;Dwayne Johnson;Roger Rees;Bernard Hill;55;12000;1000;416;14611;0;4;102129;432;167;5,5;
The Singles Ward ;2002;Comedy|Drama|Romance;English;USA;PG;102;;500000;1250798;Kurt Hale;Kirby Heyborne;Lincoln Hoppe;Daryn Tufts;0;69;24;15;161;43;0;1099;53;5;6,4;
The Slaughter Rule ;2002;Drama|Sport;English;USA;R;112;2,35;500000;13134;Alex Smith;Ryan Gosling;Clea DuVall;Eddie Spears;12;33000;1000;699;35294;183;2;2004;32;17;6,1;
The Sum of All Fears ;2002;Action|Drama|Thriller;English;USA;PG-13;124;2,35;68000000;118471320;Phil Alden Robinson;Morgan Freeman;Bruce McGill;Philip Baker Hall;31;11000;655;497;12556;0;0;86504;568;176;6,4;
The Sweetest Thing ;2002;Comedy|Romance;English;USA;R;90;1,85;43000000;24430272;Roger Kumble;Judith Chapman;Lillian Adams;Chelsea Bond;16;44;28;16;132;0;3;46158;403;99;5,1;
The Time Machine ;2002;Action|Adventure|Sci-Fi;English;USA;PG-13;96;2,35;80000000;56684819;Simon Wells;Mark Addy;Alan Young;Josh Stamberg;25;891;639;102;1919;3000;0;103787;615;124;5,9;
The Transporter ;2002;Action|Crime|Thriller;English;France;PG-13;92;2,35;21000000;25296447;Louis Leterrier;Jason Statham;Qi Shu;Matt Schulze;255;26000;1000;447;27572;0;0;237248;460;171;6,8;
The Tuxedo ;2002;Action|Comedy|Sci-Fi;English;USA;PG-13;98;1,85;60000000;50189179;Kevin Donovan;Romany Malco;Debi Mazar;Ritchie Coster;11;966;680;107;2018;797;2;61966;207;81;5,3;
The Wild Thornberrys Movie ;2002;Adventure|Animation|Comedy|Family|Fantasy;English;USA;PG;85;2,35;25000000;39880476;Cathy Malkasian;Alfre Woodard;Flea;Cree Summer;0;1000;535;503;2908;187;0;12218;33;38;5,2;
They ;2002;Horror|Mystery|Thriller;English;USA;PG-13;89;2,35;17000000;12693621;Robert Harmon;Alexander Gould;Ethan Embry;Marc Blucas;11;1000;982;973;4060;814;0;10885;271;81;4,8;
Time Changer ;2002;Drama|Fantasy|Sci-Fi;English;USA;PG;95;1,85;825000;15278;Rich Christiano;Gavin MacLeod;D. David Morin;Hal Linden;14;284;234;221;1185;409;1;1742;158;16;5,6;
Treasure Planet ;2002;Adventure|Animation|Family|Sci-Fi;English;USA;PG;95;1,5;140000000;38120554;Ron Clements;Joseph Gordon-Levitt;Martin Short;Michael Wincott;63;23000;770;720;26940;0;0;71527;217;127;7,1;
Tuck Everlasting ;2002;Drama|Family|Fantasy|Romance;English;USA;PG;90;2,35;15000000;19158074;Jay Russell;William Hurt;Sissy Spacek;Jonathan Jackson;13;882;874;613;2661;0;2;17983;127;69;6,7;
Two Weeks Notice ;2002;Comedy|Romance;English;USA;PG-13;101;1,85;60000000;93307796;Marc Lawrence;Dorian Missick;Alicia Witt;Dana Ivey;30;1000;976;268;2636;0;2;85673;269;118;6,1;
Undercover Brother ;2002;Action|Comedy;English;USA;PG-13;86;1,85;25000000;38230435;Malcolm D. Lee;Dave Chappelle;Eddie Griffin;Chi McBride;92;744;489;466;3001;0;3;29661;179;81;5,8;
Undisputed ;2002;Action|Crime|Drama|Sport;English;USA;R;94;2,35;20000000;12398628;Walter Hill;Fisher Stevens;Wes Studi;Jon Seda;394;922;855;565;2880;977;2;21542;88;64;6,1;
Unfaithful ;2002;Drama|Thriller;English;USA;R;124;1,85;50000000;52752475;Adrian Lyne;Olivier Martinez;Erik Per Sullivan;Chad Lowe;213;838;593;372;2583;0;0;63067;533;152;6,7;
Van Wilder: Party Liaison ;2002;Comedy|Romance;English;Germany;R;94;1,85;6000000;21005329;Walt Becker;Ryan Reynolds;Curtis Armstrong;Erik Estrada;12;16000;876;583;19341;0;0;89128;258;96;6,4;
